PROYECTO,PEDIDO,Column1,CLAN,FAMILIA,PROVEEDOR,FECHA DE APROBACION,LUGAR DE ENTREGA,CONCEPTO,SITUACIONES ESPECIALES,IMPORTE,,,,,,,,,,
00266 GRAND HYATT CANCUN,317 A,,MATERIALES,AL," ALUBIN DE MEXICO, S. A. DE C. V.",10/11/2025,TLATILCO 112,PERFILES DE ALUMINIO,AMORTIZACION S/FACT. 1757 100% ANTICIPO, $-   ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,Cd. De México a 06 de noviembre de 2025.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,PROVEEDOR:," ALUBIN DE MEXICO, S. A. DE C. V.",,,,,,,,,,,,,,,
,,,,," Calle 2 Sur # 120,",,,,,,,,,,,,,,,
,,,,," Parque Industrial Toluca 2000,",,,,,,,,,,,,,,,
,,,,," Toluca, Edo.México.",,,,,,,,,,,,,,,
,,,,, C:P: 50200,,,,,,,,,,,,,,,
,,,,, Tel. 01800-288-0200;  01722-262-1500,,,,,,,,,,,,,,,
,,,,, Fax 01722 262-1509,,,,,,,,,,,,,,,
,,,,, Cel. 04455-3939-7295,,,,,,,,,,,,,,,
,PEDIDO:,,317 A,,,,,,,,,,,,,,,,,
,FAMILIA:,,AL,,EMILIO RIESTRA,,,,,,,,,,,,,,,
,CONCEPTO:,,PERFILES DE ALUMINIO,,,,,,,,,,,,,,,,,
,FASE VII,,,,SRITA. ANGELICA PEDRO,,,,,,,,,,,,,,,
,AMENIDADES,,,,,,,,,,,,,,,,,,,
,,,,PROYECTO:,00266 GRAND HYATT CANCUN,,,,,,,,,,,,,,,
,,,,CLAN:,MATERIALES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ENTREGAR:,TLATILCO 112,,,,,,,,,,,,,,,
,,,,,COL. TLATILCO,,,,,,,,,,,,,,,
,,,,,DEL. AZCAPOTZALCO,,,,,,,,,,,,,,,
,,,,,CP 02860,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,, AT´N:,HUMBERTO JIMENEZ ,,,,,,,,,,,,,,,
,,,,,55 3056 6717,,,,,,,,PRECIO ALUMINIO,, $4.95 ,,,,,
,,,,,,,,,,,,,PRECIO PINTURA,, $3.95 ,,,,,
,,,FECHA DE ENTREGA: ,,,,,,,,,,,,,,,,,
,ESPECIFICACIONES DE PERFILES DE ALUMINIO,,,,,,,,,,PEDIDO:,,,,,,CONTROL INTERNO DE KG,,,
