PROYECTO,PEDIDO,CLAN,FAMILIA,PROVEEDOR,FECHA DE APROBACION,LUGAR DE ENTREGA,CONCEPTO,SITUACIONES ESPECIALES ,% SITUACION ESPECIAL,IMPORTE,,,,,,,
OO443 JAIME NUNO,252,MATERIALES,TO,TECNICA EN FIJACION Y SOPORTERIA,06/11/2025,JAIME NUNO,TORNILLERIA,AMORTIZACION,0.1,17097.768,,,,,,,
,,,,Cd. De México a 06 de Noviembre del 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,PROVEEDOR:,TECNICA EN FIJACION Y SOPORTERIA,,,,,,,,,,,,
,,,,R.F.C :,TFS900403US9,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,ATENCION:,,,,,,,,,,,,,
,"HEG DISEÑO E INSTALACION, S.A. DE C.V.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,PEDIDO:,252,,,,,,,,,,,,,,,
,FAMILIA:,TO,,PROYECTO:,OO443 JAIME NUNO,,,,,,,,,,,,
,CONCEPTO:,TORNILLERIA,,CLAN:,MATERIALES,,,,,,,,,,,,
,,EXTRAS 01,,ENTREGAR EN:,JAIME NUNO,,,,,,,,,,,,
,,,,,INSURGENTES SUR 1921,,,,,,,,,,,,
,,,,,Col. GUADALUPE INN,,,,,,,,,,,,
,,,,,DEL. ALVARO OBREGON,,,,,,,,,,,,
,,,,,CP 01020,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,NO.,DESCRIPCION,UNIDAD,MEDIDA,,CANTIDAD,P. UNITARIO,IMPORTE ,CLAVE,DIBUJO,M.L.,ACABADO, KG , PRECIOxKG ,,,
,1,"PIJA C/P #10"" X 3""",PZAS,,,360, $0.97 , $349.20 ,,,,,,,,,
,2,"PIJA C/F #10X2 1/2""",PZAS,,,300, $0.74 , $222.00 ,,,,,,,,,
