PROYECTO,PEDIDO,CLAN,FAMILIA,PROVEEDOR,FECHA DE APROBACION,LUGAR DE ENTREGA,CONCEPTO,SITUACIONES ESPECIALES ,% SITUACION ESPECIAL,IMPORTE,,,,,,,
00580 PARALLEL HOP,06 B,MATERIALES,CR,"TECNOVIDRIO, S. A. DE C. V.",06/11/2025,TLATILCO 112,TRASPASO DE NAARA A PARALLEL HOP,-,0,2022.8544,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Cd. De México a 18 de Septiembre del 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,PROVEEDOR:,"TECNOVIDRIO, S. A. DE C. V.",,,,,,,,,,,,
,,,,,"Cafetal # 240,",,,,,,,,,,,,
,,,,,"Col. Granjas México,",,,,,,,,,,,,
,,,,,"08400 México, D. F.",,,,,,,,,,,,
,,,,,Tel. 3000 2000 Fax 3000 2092,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,ATENCION:,PILI CORTES,,,,,,,,,,,,
,"HEG DISEÑO E INSTALACION, S.A. DE C.V.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,PEDIDO:,06 B,,,,,,,,,,,,,,,
,FAMILIA:,CR,,PROYECTO:,00580 PARALLEL HOP,,,,,,,,,,,,
,CONCEPTO:,TRASPASO DE NAARA A PARALLEL HOP,,CLAN:,MATERIALES,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,ENTREGAR EN:,TLATILCO 112,,,,,,,,,,,,
,,,,,Col. Tlatilco,,,,,,,,,,,,
,,,,,Del. Azcapotzalco,,,,,,,,,,,,
,,,,,CP 02860,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,NO.,DESCRIPCION,UNIDAD,MEDIDA,,CANTIDAD,P. UNITARIO,IMPORTE ,CLAVE,DIBUJO,M.L.,ACABADO, KG , PRECIOxKG ,,,
,1,TRASPASO DE ANTICIPO DE CRISTAL PARA EL PEDIDO 06 DE 00580 PARALLEL HOP,LOTE,,,1," $1,743.84 "," $1,743.84 ",,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
